package_name,aaid,aid,geo,router_ssid,wifi_mac,router_mac,imei,hwid,phone,email,real_name,package_dump,simid,gsfid
com.gau.go.launcherex.theme.launchernew2016v3dfree,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.launchernew2017version,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.love.flower,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.lovepetal.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.lovestorylxxx,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.lovethemesforandroidfree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.magicgolaunchertheme,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.miracle.lamann,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.myyouth.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.newlauncher2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.pale.zt.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.pinkybow.zt.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.rosegoldlauncher,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.sakuralauncherth,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.smokecolors.yang,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.sweetie.zt.free,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.t3dlaunchernew2017version,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.waterdrop,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.weedrasta,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.zt.Elegant.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.geaxgame.gamezone.texas,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.generagames.resistance,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.generagames.soccerstarleaguesfootball,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.generamobile.headsoccerlaliga,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.generamobile.soccerlegend,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.getsomeheadspace.android,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.giphy.messenger,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gismart.realdrum2free,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gismart.realpianofree,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.glidetalk.glideapp,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.global.foodpanda.android,1,1,1,0,0,0,0,1,0,0,0,0,0,0
com.glu.deerhunt16,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.glu.deerhunt2,1,1,0,0,0,0,1,0,0,1,0,0,0,0
com.glu.stardomkim,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gm.decolar,1,1,1,0,0,0,0,0,0,0,0,0,0,0
